fulfillment_id,need_id,donor_id,church_id,request_date,matched_date,fulfilled_date,response_time_hours,fulfillment_time_hours,category,donor_rating
FH00001,N00001,D0119,C025,2024-12-13,2024-12-14,2024-12-15,24,24,Medical,5
FH00002,N00002,D0142,C030,2024-11-24,2024-11-25,2024-11-25,24,1,Clothing,5
FH00003,N00004,D0096,C008,2024-04-30,2024-04-30,2024-04-30,1,1,Utilities,4
FH00004,N00008,D0062,C019,2024-01-01,2024-01-01,2024-01-04,1,72,Clothing,4
FH00005,N00011,D0047,C026,2024-12-22,2024-12-23,2024-12-24,24,24,Childcare,5
FH00006,N00012,D0140,C016,2024-06-07,2024-06-08,2024-06-09,24,24,School Supplies,5
FH00007,N00016,D0091,C020,2024-06-28,2024-06-28,2024-06-30,1,48,Utilities,5
FH00008,N00028,D0087,C027,2024-12-03,2024-12-04,2024-12-09,24,120,Clothing,5
FH00009,N00030,D0117,C003,2024-12-16,2024-12-16,2024-12-20,1,96,Transportation,5
FH00010,N00037,D0116,C025,2024-02-07,2024-02-08,2024-02-11,24,72,School Supplies,5
FH00011,N00039,D0036,C011,2024-03-17,2024-03-18,2024-03-23,24,120,Childcare,5
FH00012,N00040,D0122,C027,2024-12-28,2024-12-28,2024-12-28,1,1,Transportation,4
FH00013,N00043,D0121,C028,2024-07-29,2024-07-30,2024-08-04,24,120,Clothing,4
FH00014,N00049,D0060,C002,2024-12-08,2024-12-08,2024-12-09,1,24,School Supplies,4
FH00015,N00052,D0048,C030,2024-01-19,2024-01-20,2024-01-24,24,96,Clothing,4
FH00016,N00055,D0104,C027,2024-03-30,2024-03-31,2024-04-03,24,72,Childcare,5
FH00017,N00058,D0057,C005,2024-07-07,2024-07-07,2024-07-10,1,72,Transportation,5
FH00018,N00060,D0052,C019,2024-02-01,2024-02-02,2024-02-05,24,72,Childcare,4
FH00019,N00061,D0015,C015,2024-02-16,2024-02-17,2024-02-17,24,1,School Supplies,5
FH00020,N00062,D0001,C024,2024-01-12,2024-01-12,2024-01-13,1,24,Medical,5
FH00021,N00064,D0021,C022,2024-08-17,2024-08-18,2024-08-21,24,72,Utilities,4
FH00022,N00068,D0139,C007,2024-07-24,2024-07-24,2024-07-28,1,96,Housing,5
FH00023,N00071,D0058,C010,2024-10-02,2024-10-02,2024-10-07,1,120,Transportation,5
FH00024,N00082,D0062,C007,2024-02-19,2024-02-19,2024-02-22,1,72,Utilities,5
FH00025,N00083,D0058,C010,2024-08-23,2024-08-23,2024-08-27,1,96,Food,5
FH00026,N00085,D0070,C002,2024-12-20,2024-12-21,2024-12-26,24,120,Housing,5
FH00027,N00086,D0102,C030,2024-04-16,2024-04-16,2024-04-16,1,1,Clothing,4
FH00028,N00088,D0102,C025,2024-06-23,2024-06-24,2024-06-26,24,48,Utilities,4
FH00029,N00089,D0098,C003,2024-12-14,2024-12-15,2024-12-19,24,96,Utilities,4
FH00030,N00091,D0143,C018,2024-04-05,2024-04-06,2024-04-08,24,48,Food,4
FH00031,N00095,D0113,C011,2024-11-13,2024-11-13,2024-11-16,1,72,Housing,5
FH00032,N00096,D0075,C024,2024-03-31,2024-03-31,2024-04-04,1,96,School Supplies,4
FH00033,N00097,D0140,C006,2024-02-28,2024-02-28,2024-03-03,1,96,Transportation,4
FH00034,N00099,D0123,C019,2024-02-07,2024-02-08,2024-02-10,24,48,Clothing,5
FH00035,N00102,D0129,C005,2024-07-19,2024-07-20,2024-07-22,24,48,School Supplies,4
FH00036,N00110,D0138,C023,2024-04-05,2024-04-06,2024-04-11,24,120,Clothing,5
FH00037,N00111,D0092,C001,2024-08-18,2024-08-18,2024-08-20,1,48,Clothing,4
FH00038,N00115,D0090,C028,2024-01-17,2024-01-17,2024-01-22,1,120,Food,4
FH00039,N00116,D0053,C027,2024-03-25,2024-03-25,2024-03-26,1,24,Childcare,5
FH00040,N00117,D0132,C029,2024-05-28,2024-05-28,2024-06-01,1,96,Clothing,4
FH00041,N00120,D0024,C024,2024-06-16,2024-06-16,2024-06-18,1,48,Childcare,5
FH00042,N00122,D0032,C030,2024-11-16,2024-11-16,2024-11-20,1,96,Housing,5
FH00043,N00135,D0017,C010,2024-07-19,2024-07-20,2024-07-24,24,96,School Supplies,5
FH00044,N00136,D0080,C022,2024-11-09,2024-11-09,2024-11-13,1,96,Utilities,5
FH00045,N00137,D0067,C006,2024-06-26,2024-06-27,2024-06-29,24,48,Housing,4
FH00046,N00138,D0068,C023,2024-05-19,2024-05-19,2024-05-22,1,72,Housing,5
FH00047,N00143,D0051,C024,2024-07-07,2024-07-08,2024-07-13,24,120,Transportation,4
FH00048,N00148,D0060,C003,2024-06-11,2024-06-11,2024-06-12,1,24,Utilities,5
FH00049,N00149,D0054,C015,2024-03-02,2024-03-02,2024-03-04,1,48,Medical,5
FH00050,N00151,D0141,C008,2024-08-19,2024-08-21,2024-08-21,48,1,Clothing,5
FH00051,N00156,D0108,C007,2024-05-23,2024-05-23,2024-05-26,1,72,Medical,5
FH00052,N00157,D0089,C030,2024-09-02,2024-09-03,2024-09-06,24,72,Utilities,4
FH00053,N00159,D0091,C030,2024-04-22,2024-04-23,2024-04-27,24,96,School Supplies,5
FH00054,N00161,D0024,C002,2024-03-30,2024-03-30,2024-03-31,1,24,Medical,4
FH00055,N00166,D0128,C005,2024-11-23,2024-11-23,2024-11-25,1,48,Childcare,4
FH00056,N00168,D0108,C006,2024-07-16,2024-07-17,2024-07-22,24,120,Food,5
FH00057,N00169,D0009,C010,2024-03-24,2024-03-24,2024-03-24,1,1,Food,5
FH00058,N00173,D0076,C027,2024-01-02,2024-01-02,2024-01-05,1,72,Clothing,5
FH00059,N00178,D0009,C017,2024-02-10,2024-02-11,2024-02-15,24,96,School Supplies,4
FH00060,N00181,D0038,C019,2024-02-27,2024-02-27,2024-03-01,1,72,Medical,5
FH00061,N00182,D0125,C019,2024-05-15,2024-05-16,2024-05-20,24,96,Transportation,5
FH00062,N00185,D0023,C007,2024-08-01,2024-08-02,2024-08-05,24,72,Medical,5
FH00063,N00187,D0093,C023,2024-01-17,2024-01-17,2024-01-18,1,24,School Supplies,4
FH00064,N00188,D0115,C006,2024-07-09,2024-07-10,2024-07-15,24,120,Food,5
FH00065,N00189,D0042,C028,2024-01-15,2024-01-15,2024-01-18,1,72,Transportation,4
FH00066,N00192,D0096,C018,2024-01-04,2024-01-05,2024-01-09,24,96,Transportation,4
FH00067,N00194,D0067,C030,2024-12-01,2024-12-01,2024-12-04,1,72,Childcare,5
FH00068,N00195,D0122,C030,2024-12-17,2024-12-18,2024-12-22,24,96,School Supplies,5
FH00069,N00197,D0096,C009,2024-06-06,2024-06-06,2024-06-10,1,96,School Supplies,4
FH00070,N00199,D0118,C005,2024-06-24,2024-06-25,2024-06-27,24,48,Clothing,5
FH00071,N00200,D0054,C025,2024-01-03,2024-01-03,2024-01-07,1,96,Clothing,5
FH00072,N00201,D0099,C001,2024-07-25,2024-07-26,2024-07-26,24,1,Utilities,4
FH00073,N00204,D0049,C006,2024-06-24,2024-06-24,2024-06-29,1,120,Childcare,4
FH00074,N00205,D0032,C012,2024-10-28,2024-10-28,2024-11-01,1,96,Clothing,4
FH00075,N00209,D0092,C023,2024-05-14,2024-05-14,2024-05-16,1,48,Medical,5
FH00076,N00216,D0092,C020,2024-04-02,2024-04-03,2024-04-03,24,1,Medical,5
FH00077,N00219,D0062,C011,2024-02-08,2024-02-08,2024-02-10,1,48,Medical,4
FH00078,N00220,D0023,C028,2024-08-15,2024-08-16,2024-08-18,24,48,School Supplies,5
FH00079,N00225,D0087,C004,2024-04-20,2024-04-20,2024-04-24,1,96,School Supplies,5
FH00080,N00227,D0033,C004,2024-12-20,2024-12-20,2024-12-22,1,48,Medical,4
FH00081,N00230,D0150,C019,2024-06-29,2024-06-30,2024-07-03,24,72,Clothing,5
FH00082,N00231,D0014,C022,2024-01-13,2024-01-13,2024-01-13,1,1,Utilities,4
FH00083,N00233,D0074,C023,2024-05-01,2024-05-02,2024-05-06,24,96,School Supplies,5
FH00084,N00237,D0078,C016,2024-06-14,2024-06-14,2024-06-18,1,96,Clothing,5
FH00085,N00238,D0104,C003,2024-07-31,2024-08-01,2024-08-03,24,48,Clothing,5
FH00086,N00245,D0031,C018,2024-01-09,2024-01-10,2024-01-10,24,1,Utilities,5
FH00087,N00249,D0132,C005,2024-04-18,2024-04-19,2024-04-20,24,24,Transportation,4
FH00088,N00250,D0075,C022,2024-11-26,2024-11-26,2024-11-26,1,1,Clothing,5
FH00089,N00257,D0131,C003,2024-03-09,2024-03-10,2024-03-12,24,48,School Supplies,5
FH00090,N00261,D0020,C017,2024-07-06,2024-07-07,2024-07-09,24,48,Clothing,5
FH00091,N00267,D0034,C004,2024-04-27,2024-04-28,2024-04-28,24,1,Childcare,5
FH00092,N00268,D0024,C016,2024-09-29,2024-09-29,2024-10-02,1,72,Medical,4
FH00093,N00269,D0090,C019,2024-04-27,2024-04-28,2024-05-02,24,96,Childcare,4
FH00094,N00270,D0066,C007,2024-11-02,2024-11-03,2024-11-03,24,1,School Supplies,4
FH00095,N00277,D0045,C021,2024-12-30,2024-12-30,2025-01-01,1,48,Utilities,5
FH00096,N00279,D0133,C001,2024-07-26,2024-07-26,2024-07-30,1,96,Utilities,4
FH00097,N00280,D0117,C030,2024-04-25,2024-04-25,2024-04-27,1,48,Childcare,5
FH00098,N00285,D0047,C024,2024-04-21,2024-04-21,2024-04-25,1,96,Medical,5
FH00099,N00288,D0123,C018,2024-01-28,2024-01-29,2024-01-29,24,1,School Supplies,5
FH00100,N00290,D0061,C009,2024-04-05,2024-04-05,2024-04-08,1,72,Childcare,4
FH00101,N00291,D0116,C006,2024-07-05,2024-07-05,2024-07-08,1,72,School Supplies,4
FH00102,N00301,D0022,C004,2024-01-14,2024-01-15,2024-01-16,24,24,Medical,5
FH00103,N00304,D0059,C026,2024-06-26,2024-06-27,2024-06-27,24,1,Utilities,5
FH00104,N00308,D0070,C010,2024-09-21,2024-09-22,2024-09-26,24,96,Utilities,4
FH00105,N00310,D0048,C004,2024-01-26,2024-01-26,2024-01-27,1,24,Childcare,4
FH00106,N00311,D0088,C014,2024-01-08,2024-01-08,2024-01-10,1,48,School Supplies,4
FH00107,N00314,D0054,C016,2024-02-18,2024-02-19,2024-02-21,24,48,Housing,5
FH00108,N00315,D0077,C007,2024-05-09,2024-05-10,2024-05-12,24,48,Housing,5
FH00109,N00316,D0102,C026,2024-05-21,2024-05-21,2024-05-22,1,24,Childcare,5
FH00110,N00325,D0019,C001,2024-04-23,2024-04-24,2024-04-29,24,120,Transportation,5
FH00111,N00331,D0102,C001,2024-07-03,2024-07-04,2024-07-08,24,96,School Supplies,4
FH00112,N00335,D0015,C030,2024-10-22,2024-10-22,2024-10-26,1,96,Food,4
FH00113,N00338,D0034,C011,2024-05-28,2024-05-28,2024-05-28,1,1,Food,5
FH00114,N00340,D0148,C003,2024-05-16,2024-05-16,2024-05-17,1,24,School Supplies,5
FH00115,N00344,D0037,C023,2024-10-07,2024-10-08,2024-10-12,24,96,School Supplies,5
FH00116,N00347,D0048,C007,2024-11-01,2024-11-01,2024-11-03,1,48,Food,4
FH00117,N00353,D0031,C006,2024-10-12,2024-10-13,2024-10-15,24,48,Clothing,5
FH00118,N00355,D0060,C020,2024-11-06,2024-11-07,2024-11-08,24,24,Clothing,4
FH00119,N00357,D0070,C014,2024-01-17,2024-01-17,2024-01-18,1,24,Clothing,5
FH00120,N00360,D0013,C007,2024-10-12,2024-10-13,2024-10-15,24,48,Utilities,4
FH00121,N00361,D0119,C027,2024-12-19,2024-12-19,2024-12-22,1,72,Utilities,4
FH00122,N00362,D0046,C015,2024-06-14,2024-06-14,2024-06-17,1,72,Clothing,4
FH00123,N00371,D0032,C023,2024-05-29,2024-05-29,2024-06-03,1,120,Utilities,4
FH00124,N00372,D0136,C003,2024-02-25,2024-02-26,2024-02-29,24,72,School Supplies,4
FH00125,N00373,D0134,C024,2024-11-10,2024-11-11,2024-11-14,24,72,Transportation,4
FH00126,N00376,D0002,C004,2024-09-16,2024-09-16,2024-09-20,1,96,Food,5
FH00127,N00378,D0015,C027,2024-08-24,2024-08-26,2024-08-28,48,48,Medical,5
FH00128,N00381,D0045,C004,2024-04-20,2024-04-20,2024-04-22,1,48,Childcare,5
FH00129,N00383,D0134,C004,2024-08-23,2024-08-24,2024-08-24,24,1,Clothing,5
FH00130,N00384,D0080,C001,2024-02-22,2024-02-23,2024-02-26,24,72,Childcare,5
FH00131,N00388,D0115,C020,2024-12-26,2024-12-27,2024-12-29,24,48,Utilities,4
FH00132,N00392,D0131,C004,2024-11-05,2024-11-05,2024-11-07,1,48,Clothing,4
FH00133,N00393,D0063,C018,2024-10-29,2024-10-29,2024-10-30,1,24,Transportation,4
FH00134,N00395,D0114,C006,2024-06-15,2024-06-15,2024-06-16,1,24,Medical,5
FH00135,N00397,D0100,C020,2024-08-19,2024-08-19,2024-08-22,1,72,Housing,4
FH00136,N00398,D0131,C013,2024-02-15,2024-02-15,2024-02-19,1,96,Transportation,4
FH00137,N00403,D0091,C008,2024-10-09,2024-10-10,2024-10-11,24,24,Clothing,5
FH00138,N00404,D0094,C002,2024-07-29,2024-07-30,2024-07-30,24,1,School Supplies,5
FH00139,N00416,D0091,C028,2024-02-19,2024-02-20,2024-02-23,24,72,Childcare,4
FH00140,N00423,D0126,C004,2024-11-08,2024-11-08,2024-11-09,1,24,Food,4
FH00141,N00432,D0005,C002,2024-09-12,2024-09-13,2024-09-15,24,48,Utilities,5
FH00142,N00433,D0149,C008,2024-12-13,2024-12-13,2024-12-18,1,120,School Supplies,4
FH00143,N00438,D0041,C001,2024-11-19,2024-11-20,2024-11-24,24,96,Housing,4
FH00144,N00439,D0033,C007,2024-12-21,2024-12-22,2024-12-23,24,24,Food,4
FH00145,N00440,D0078,C012,2024-09-12,2024-09-12,2024-09-14,1,48,Clothing,5
FH00146,N00448,D0044,C019,2024-05-31,2024-05-31,2024-06-03,1,72,Clothing,5
FH00147,N00453,D0104,C006,2024-08-20,2024-08-20,2024-08-24,1,96,Medical,4
FH00148,N00455,D0094,C029,2024-01-29,2024-01-30,2024-01-31,24,24,School Supplies,5
FH00149,N00456,D0018,C018,2024-11-27,2024-11-28,2024-12-02,24,96,Childcare,5
FH00150,N00458,D0121,C023,2024-09-13,2024-09-13,2024-09-16,1,72,Childcare,4
FH00151,N00462,D0084,C016,2024-07-29,2024-07-29,2024-08-02,1,96,School Supplies,5
FH00152,N00463,D0074,C025,2024-04-26,2024-04-27,2024-05-01,24,96,Transportation,4
FH00153,N00466,D0038,C015,2024-01-13,2024-01-14,2024-01-19,24,120,Clothing,4
FH00154,N00467,D0038,C026,2024-05-28,2024-05-29,2024-06-01,24,72,Childcare,4
FH00155,N00469,D0072,C007,2024-10-25,2024-10-25,2024-10-25,1,1,Housing,4
FH00156,N00470,D0131,C002,2024-06-11,2024-06-12,2024-06-17,24,120,Utilities,5
FH00157,N00472,D0042,C026,2024-07-31,2024-07-31,2024-08-04,1,96,Food,5
FH00158,N00473,D0017,C030,2024-08-31,2024-08-31,2024-09-04,1,96,Clothing,4
FH00159,N00474,D0146,C025,2024-10-11,2024-10-12,2024-10-17,24,120,Transportation,4
FH00160,N00477,D0093,C019,2024-05-21,2024-05-21,2024-05-23,1,48,School Supplies,4
FH00161,N00480,D0140,C011,2024-02-18,2024-02-18,2024-02-23,1,120,Food,5
FH00162,N00481,D0096,C025,2024-03-11,2024-03-11,2024-03-14,1,72,Childcare,5
FH00163,N00482,D0030,C027,2024-08-01,2024-08-01,2024-08-01,1,1,School Supplies,5
FH00164,N00488,D0136,C007,2024-02-20,2024-02-20,2024-02-23,1,72,School Supplies,4
FH00165,N00490,D0105,C004,2024-04-19,2024-04-19,2024-04-23,1,96,Childcare,5
FH00166,N00492,D0142,C014,2024-12-17,2024-12-17,2024-12-19,1,48,Transportation,4
FH00167,N00493,D0027,C013,2024-12-11,2024-12-12,2024-12-15,24,72,Childcare,4
FH00168,N00495,D0104,C016,2024-07-01,2024-07-02,2024-07-05,24,72,Transportation,4
FH00169,N00497,D0084,C005,2024-04-01,2024-04-02,2024-04-04,24,48,Medical,4
FH00170,N00499,D0081,C028,2024-03-01,2024-03-02,2024-03-04,24,48,Housing,4
